08:59:16 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:15:30 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:16:01 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:16:31 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:17:02 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:17:32 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:18:02 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:18:33 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:19:03 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:19:34 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:20:05 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:20:35 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:21:06 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:21:36 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:22:07 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:22:37 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:23:08 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:23:38 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:24:09 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:24:39 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:25:10 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:25:40 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:26:11 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:26:41 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:27:12 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:27:42 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:28:13 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:28:43 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:29:14 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:29:44 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:30:15 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:30:45 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:31:16 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:31:46 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:32:17 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:32:47 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:33:18 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:33:48 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:34:19 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:34:49 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:35:20 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:35:50 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:36:21 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:36:51 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:37:22 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:37:52 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:38:23 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:38:53 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:39:24 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:39:54 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:40:25 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:40:55 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:41:26 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:41:56 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:42:27 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:42:57 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:43:28 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:43:58 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:44:29 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:44:59 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:45:30 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:46:00 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:46:31 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:47:01 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:47:32 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:48:02 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:48:33 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:49:03 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:49:34 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:50:04 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:50:35 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:51:05 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:51:36 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:52:06 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:52:37 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:53:07 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:53:38 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:54:08 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:54:39 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:55:09 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:55:40 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:56:10 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:56:41 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:57:11 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:57:42 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:58:12 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:58:43 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:59:13 alive=['ace_context', 'worldmind'] display=ok stopped=- 
10:59:44 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:00:14 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:00:45 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:01:15 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:01:46 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:02:16 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:02:47 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:03:17 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:03:48 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:04:18 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:04:49 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:05:19 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:05:50 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:06:20 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:06:51 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:07:21 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:07:52 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:08:22 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:08:53 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:09:23 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:09:54 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:10:24 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:10:55 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:11:25 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:11:56 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:12:26 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:12:57 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:13:27 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:13:58 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:14:28 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:14:59 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:15:29 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:16:00 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:16:30 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:17:01 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:17:31 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:18:02 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:18:32 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:19:03 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:19:33 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:20:04 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:20:34 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:21:05 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:21:35 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:22:06 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:22:36 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:23:07 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:23:37 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:24:08 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:24:38 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:25:09 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:25:39 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:26:10 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:26:40 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:27:11 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:27:41 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:28:12 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:28:42 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:29:13 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:29:43 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:30:14 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:30:44 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:31:15 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:31:45 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:32:16 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:32:46 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:33:17 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:33:47 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:34:18 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:34:48 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:35:19 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:35:49 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:36:20 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:36:50 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:37:21 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:37:51 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:38:22 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:38:52 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:39:23 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:39:53 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:40:24 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:40:54 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:41:25 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:41:55 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:42:26 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:42:56 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:43:27 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:43:57 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:44:28 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:44:58 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:45:29 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:45:59 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:46:30 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:47:00 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:47:31 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:48:01 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:48:32 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:49:02 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:49:33 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:50:03 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:50:34 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:51:04 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:51:35 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:52:05 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:52:36 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:53:07 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:53:37 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:54:08 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:54:38 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:55:09 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:55:39 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:56:10 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:56:40 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:57:11 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:57:41 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:58:12 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:58:42 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:59:12 alive=['ace_context', 'worldmind'] display=ok stopped=- 
11:59:43 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:00:14 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:00:44 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:01:15 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:01:45 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:02:16 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:02:46 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:03:17 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:03:47 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:04:18 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:04:48 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:05:19 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:05:49 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:06:20 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:06:50 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:07:21 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:07:51 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:08:22 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:08:52 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:09:23 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:09:53 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:10:24 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:10:54 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:11:25 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:11:55 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:12:26 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:12:56 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:13:27 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:13:57 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:14:28 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:14:58 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:15:29 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:15:59 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:16:30 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:17:00 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:17:31 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:18:01 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:18:32 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:19:02 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:19:33 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:20:03 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:20:34 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:21:04 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:21:35 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:22:05 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:22:36 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:23:06 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:23:37 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:24:07 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:24:38 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:25:08 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:25:39 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:26:09 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:26:40 alive=['ace_context', 'worldmind'] display=ok stopped=- 
12:27:10 alive=['ace_context', 'worldmind'] display=ok stopped=- 
