00:20:21 procs=4 display=ok total=20/360 | none:7/90(exp 0) | raw_memory:4/90(exp 0) | ace_context:4/90(exp 0) | worldmind:5/90(exp 0)
01:16:31 procs=4 display=ok total=89/360 | none:26/90(exp 0) | raw_memory:20/90(exp 0) | ace_context:20/90(exp 0) | worldmind:23/90(exp 0)
01:17:31 procs=4 display=ok total=90/360 | none:26/90(exp 0) | raw_memory:20/90(exp 0) | ace_context:20/90(exp 0) | worldmind:24/90(exp 0)
01:18:31 procs=4 display=ok total=91/360 | none:27/90(exp 0) | raw_memory:20/90(exp 0) | ace_context:20/90(exp 0) | worldmind:24/90(exp 0)
01:19:31 procs=4 display=ok total=94/360 | none:27/90(exp 0) | raw_memory:21/90(exp 0) | ace_context:21/90(exp 0) | worldmind:25/90(exp 0)
01:20:31 procs=4 display=ok total=94/360 | none:27/90(exp 0) | raw_memory:21/90(exp 0) | ace_context:21/90(exp 0) | worldmind:25/90(exp 0)
01:21:31 procs=4 display=ok total=95/360 | none:28/90(exp 0) | raw_memory:21/90(exp 0) | ace_context:21/90(exp 0) | worldmind:25/90(exp 0)
01:22:32 procs=4 display=ok total=97/360 | none:28/90(exp 0) | raw_memory:22/90(exp 0) | ace_context:22/90(exp 0) | worldmind:25/90(exp 0)
01:23:32 procs=4 display=ok total=98/360 | none:28/90(exp 0) | raw_memory:23/90(exp 0) | ace_context:22/90(exp 0) | worldmind:25/90(exp 0)
01:24:32 procs=4 display=ok total=101/360 | none:28/90(exp 0) | raw_memory:24/90(exp 0) | ace_context:23/90(exp 0) | worldmind:26/90(exp 0)
01:25:32 procs=4 display=ok total=104/360 | none:29/90(exp 0) | raw_memory:24/90(exp 0) | ace_context:24/90(exp 0) | worldmind:27/90(exp 0)
01:26:32 procs=4 display=ok total=105/360 | none:29/90(exp 0) | raw_memory:24/90(exp 0) | ace_context:24/90(exp 0) | worldmind:28/90(exp 0)
01:27:32 procs=4 display=ok total=105/360 | none:29/90(exp 0) | raw_memory:24/90(exp 0) | ace_context:24/90(exp 0) | worldmind:28/90(exp 0)
01:28:32 procs=4 display=ok total=109/360 | none:30/90(exp 0) S000=PASS | raw_memory:25/90(exp 0) | ace_context:25/90(exp 0) | worldmind:29/90(exp 0)
01:29:33 procs=4 display=ok total=111/360 | none:31/90(exp 1) S000=PASS | raw_memory:25/90(exp 0) | ace_context:26/90(exp 0) | worldmind:29/90(exp 0)
01:30:33 procs=4 display=ok total=112/360 | none:32/90(exp 2) S000=PASS | raw_memory:25/90(exp 0) | ace_context:26/90(exp 0) | worldmind:29/90(exp 0)
01:31:33 procs=4 display=ok total=113/360 | none:32/90(exp 2) S000=PASS | raw_memory:25/90(exp 0) | ace_context:26/90(exp 0) | worldmind:30/90(exp 0) S000=PASS
01:32:33 procs=4 display=ok total=114/360 | none:32/90(exp 2) S000=PASS | raw_memory:26/90(exp 0) | ace_context:26/90(exp 0) | worldmind:30/90(exp 0) S000=PASS
01:33:33 procs=4 display=ok total=116/360 | none:33/90(exp 3) S000=PASS | raw_memory:26/90(exp 0) | ace_context:26/90(exp 0) | worldmind:31/90(exp 1) S000=PASS
01:34:33 procs=4 display=ok total=118/360 | none:33/90(exp 3) S000=PASS | raw_memory:27/90(exp 0) | ace_context:27/90(exp 0) | worldmind:31/90(exp 1) S000=PASS
01:35:34 procs=4 display=ok total=118/360 | none:33/90(exp 3) S000=PASS | raw_memory:27/90(exp 0) | ace_context:27/90(exp 0) | worldmind:31/90(exp 1) S000=PASS
01:36:34 procs=4 display=ok total=120/360 | none:33/90(exp 3) S000=PASS | raw_memory:27/90(exp 0) | ace_context:28/90(exp 0) | worldmind:32/90(exp 2) S000=PASS
01:37:34 procs=4 display=ok total=121/360 | none:34/90(exp 4) S000=PASS | raw_memory:27/90(exp 0) | ace_context:28/90(exp 0) | worldmind:32/90(exp 2) S000=PASS
01:38:34 procs=4 display=ok total=122/360 | none:34/90(exp 4) S000=PASS | raw_memory:28/90(exp 0) | ace_context:28/90(exp 0) | worldmind:32/90(exp 2) S000=PASS
